workload_id,snr_db,frame,algorithm_id,bit_errors,success,decode_failure,decoder_valid,crc_valid,baseline_valid,accepted_update,selection_reason,selected_iteration,lite_syndrome,gradient_syndrome,lite_score,gradient_score,selected_mean_abs_lpost
red3:lane3:snr0.0:seed4:frame1,0.0,1,cwz_joint,196,false,false,true,missing,false,true,gradient_only,8,958,0,1.4929328644392248,41.51059200250247,missing
red3:lane3:snr0.0:seed4:frame2,0.0,2,cwz_joint,218,false,false,true,missing,false,true,gradient_only,8,958,0,1.9151107417218864,113.63915203144573,missing
red3:lane3:snr0.0:seed4:frame3,0.0,3,cwz_joint,234,false,false,true,missing,false,true,gradient_only,8,984,0,1.4829035660105516,37.43573635157953,missing
red3:lane3:snr0.0:seed4:frame4,0.0,4,cwz_joint,256,false,false,true,missing,false,true,gradient_only,8,1047,0,1.1723694042404507,36.60448573866062,missing
red3:lane3:snr0.0:seed4:frame5,0.0,5,cwz_joint,218,false,false,true,missing,false,true,gradient_only,8,1005,0,2.284901405121042,31.88310173041416,missing
red3:lane3:snr0.0:seed4:frame6,0.0,6,cwz_joint,211,false,false,true,missing,false,true,gradient_only,8,945,0,3.8071951678380125,96.19614637757634,missing
red3:lane3:snr0.0:seed4:frame7,0.0,7,cwz_joint,213,false,false,true,missing,false,true,gradient_only,8,958,0,5.722959824160792,62.28874279911783,missing
red3:lane3:snr0.0:seed4:frame8,0.0,8,cwz_joint,229,false,false,true,missing,false,true,gradient_only,8,946,0,1.072724519110218,38.92175337396181,missing
red3:lane3:snr0.0:seed4:frame9,0.0,9,cwz_joint,233,false,false,true,missing,false,true,gradient_only,8,982,0,3.600490001358646,68.23753183350846,missing
red3:lane3:snr0.0:seed4:frame10,0.0,10,cwz_joint,240,false,false,true,missing,false,true,gradient_only,8,988,0,1.6798884633652365,40.48641987493727,missing
red3:lane3:snr0.0:seed4:frame11,0.0,11,cwz_joint,225,false,false,true,missing,false,true,gradient_only,8,929,0,1.5398839784629696,53.429082728580916,missing
red3:lane3:snr0.0:seed4:frame12,0.0,12,cwz_joint,228,false,false,true,missing,false,true,gradient_only,8,972,0,1.2948103615371844,35.58483060334999,missing
